CIFNumber,Customer Name,Customer-since,DateofBirth,Gender,City,Existingloans-to-income-ratio,Creditscore,Monthly-Income,Profession,Loan-productname,Date-loan-given,Loan-Tenor-in-months,NO of Months From Loan Date, LoanAmount , InterestRate , EquatedMonthlyInstalment , NumberofInstalmentsPaid , Numberofinstalments-paid-byDue-date , Numberofinstalments-paid afterDuedate , NumberofInstalments-NotPaidasoftoday , PrincipalAmountOutstanding , InterestAmountOutstandingas of today ,Numberofcallsmade,Response, Lessthan30daysoutstandingprincipalplusinterest , 30ormorebutlessthan60daysoutstandingprincipalplusinterest , 60ormorebutlessthan90daysoutstandingprincipalplusinterest , 90ormorebutlessthan 180daysoutstandingprincipalplusinterest , 180daysormoreoutstandingprincipalplusinterest ,Interestaccrualstopdate,FB Field 1,FB Field 2,FB Field 3,Twitter Field 1,Twitter Field 2,LInkedIn 1,LinkedIn2
99002703,Yama Deshmukh,12/8/2011,9/16/1958,Male,Pune,4,775,40k to 60k,Public Sector Employee,Personal Loan,7/23/2014,18,15," 511,168.00 ", 12.50 ," (31,290.93)", 15.00 , 1.00 , 14.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002718,Jafar Rama,1/31/2002,1/1/1994,Male,Pune,6,874,60k to 100k,Private Sector Employee,Home Loan,11/9/2013,36,23," 513,264.00 ", 11.50 ," (16,925.40)", 20.00 , 17.00 , 3.00 , 3.00 ," 42,772.00 "," (93,548.19)",0,N/A, -   , -   ," (50,776.19)", -   , -   ,,,,,,,,
99002718,Jafar Rama,1/31/2002,1/1/1994,Male,Pune,12,516,60k to 100k,Private Sector Employee,Personal Loan,9/23/2014,18,13," 571,367.00 ", 12.50 ," (34,975.98)", 13.00 , 13.00 , -   , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002733,Latif Cherian,3/19/2006,4/16/1970,Male,Pune,14,789,upto 15000,Private Sector Employee,Auto Loan,12/16/2014,36,10," 274,151.00 ", 10.50 ," (8,910.58)", 7.00 , -   , 7.00 , 3.00 ," 22,845.92 "," (49,577.65)",0,N/A, -   , -   ," (26,731.73)", -   , -   ,,,,,,,,
99002733,Latif Cherian,3/19/2006,4/16/1970,Male,Pune,14,703,upto 15000,Private Sector Employee,Personal Loan,12/25/2013,36,22," 598,757.00 ", 12.50 ," (20,030.59)", 22.00 , 16.00 , 6.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002748,Sanat Landge,5/10/2002,2/19/1985,Female,Pune,2,716,100k to 200k,Bussiness Owner,Auto Loan,12/29/2013,18,22," 418,864.00 ", 10.50 ," (25,252.29)", 21.00 , -   , 21.00 , 1.00 ," 23,270.22 "," (48,522.51)",0,N/A," (25,252.29)", -   , -   , -   , -   ,,,,,,,,
99002748,Sanat Landge,5/10/2002,2/19/1985,Female,Pune,16,781,100k to 200k,Bussiness Owner,Personal Loan,4/19/2014,18,18," 692,507.00 ", 12.50 ," (42,391.52)", 18.00 , 16.00 , 2.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002763,Hastimukha Saxena,12/10/2006,12/24/1978,Male,Pune,18,797,15k to 25k,Small Bussiness Owner,Home Loan,2/26/2015,18,8," 608,832.00 ", 11.50 ," (36,986.57)", 7.00 , 7.00 , -   , 1.00 ," 33,824.00 "," (70,810.57)",0,N/A," (36,986.57)", -   , -   , -   , -   ,,,,,,,,
99002763,Hastimukha Saxena,12/10/2006,12/24/1978,Male,Pune,7,555,15k to 25k,Small Bussiness Owner,Personal Loan,9/30/2014,24,13," 617,927.00 ", 12.50 ," (29,232.46)", 13.00 , 2.00 , 11.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002778,Agni Master,5/21/2010,12/10/1990,Male,Pune,12,574,100k to 200k,Bussiness Owner,Auto Loan,12/4/2014,24,10," 352,472.00 ", 10.50 ," (16,346.26)", 7.00 , 7.00 , -   , 3.00 ," 44,059.00 "," (93,097.77)",0,N/A, -   , -   ," (49,038.77)", -   , -   ,,,,,,,,
99002778,Agni Master,5/21/2010,12/10/1990,Male,Pune,11,546,100k to 200k,Bussiness Owner,Personal Loan,12/15/2013,36,22," 586,493.00 ", 12.50 ," (19,620.32)", 19.00 , 18.00 , 1.00 , 3.00 ," 48,874.42 "," (107,735.37)",0,N/A, -   , -   ," (58,860.95)", -   , -   ,,,,,,,,
99002793,Yamal Birnale,5/3/2002,3/8/1993,Male,Pune,18,846,40k to 60k,Public Sector Employee,Auto Loan,5/26/2013,24,29," 428,754.00 ", 10.50 ," (19,883.91)", 26.00 , 1.00 , 25.00 , 3.00 ," 53,594.25 "," (113,245.99)",0,N/A, -   , -   ," (59,651.74)", -   , -   ,,,,,,,,
99002793,Yamal Birnale,5/3/2002,3/8/1993,Male,Pune,7,773,40k to 60k,Public Sector Employee,Personal Loan,12/23/2013,18,22," 607,902.00 ", 12.50 ," (37,212.46)", 20.00 , 11.00 , 9.00 , 2.00 ," 67,544.67 "," (141,969.58)",0,N/A, -   ," (74,424.91)", -   , -   , -   ,,,,,,,,
99002808,Vasuki Raju,4/3/2009,9/18/1987,Female,Pune,13,769,upto 15000,Private Sector Employee,Auto Loan,12/3/2012,36,34," 282,388.00 ", 10.50 ," (9,178.30)", 31.00 , 10.00 , 21.00 , 3.00 ," 23,532.33 "," (51,067.23)",0,N/A, -   , -   ," (27,534.90)", -   , -   ,,,,,,,,
99002808,Vasuki Raju,4/3/2009,9/18/1987,Female,Pune,4,558,upto 15000,Private Sector Employee,Personal Loan,6/15/2015,36,4," 596,538.00 ", 12.50 ," (19,956.36)", 3.00 , 2.00 , 1.00 , 1.00 ," 16,570.50 "," (36,526.86)",0,N/A," (19,956.36)", -   , -   , -   , -   ,,,,,,,,
99002823,Omparkash Goda,7/6/2007,6/22/1959,Male,Pune,17,767,60k to 100k,Private Sector Employee,Home Loan,6/6/2013,24,28," 520,974.00 ", 11.50 ," (24,402.59)", 27.00 , 7.00 , 20.00 , 1.00 ," 21,707.25 "," (46,109.84)",0,N/A," (24,402.59)", -   , -   , -   , -   ,,,,,,,,
99002823,Omparkash Goda,7/6/2007,6/22/1959,Male,Pune,2,865,60k to 100k,Private Sector Employee,Personal Loan,1/6/2015,36,9," 594,341.00 ", 12.50 ," (19,882.86)", 9.00 , 1.00 , 8.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002838,Halim Chakrabarti,11/28/2004,4/21/1996,Male,Pune,16,757,25k to 40k,Private Sector Employee,Auto Loan,9/13/2014,24,13," 455,942.00 ", 10.50 ," (21,144.79)", 13.00 , 2.00 , 11.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002838,Halim Chakrabarti,11/28/2004,4/21/1996,Male,Pune,2,828,25k to 40k,Private Sector Employee,Personal Loan,7/1/2015,30,3," 510,133.00 ", 12.50 ," (19,887.23)", 1.00 , 1.00 , -   , 2.00 ," 34,008.87 "," (73,783.33)",0,N/A, -   ," (39,774.47)", -   , -   , -   ,,,,,,,,
99002853,Javas Tailor,11/5/2012,1/22/1994,Male,Pune,8,582,upto 15000,Private Sector Employee,Home Loan,1/21/2013,18,33," 607,188.00 ", 11.50 ," (36,886.70)", 30.00 , 26.00 , 4.00 , 3.00 ," 101,198.00 "," (211,858.09)",0,N/A, -   , -   ," (110,660.09)", -   , -   ,,,,,,,,
99002853,Javas Tailor,11/5/2012,1/22/1994,Male,Pune,16,850,upto 15000,Private Sector Employee,Personal Loan,4/24/2014,36,18," 594,669.00 ", 12.50 ," (19,893.83)", 18.00 , 17.00 , 1.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002868,Ajay Mitra,7/1/2008,2/6/1955,Female,Pune,16,884,25k to 40k,Private Sector Employee,Auto Loan,7/4/2014,18,15," 265,640.00 ", 10.50 ," (16,014.79)", 14.00 , 4.00 , 10.00 , 1.00 ," 14,757.78 "," (30,772.56)",0,N/A," (16,014.79)", -   , -   , -   , -   ,,,,,,,,
99002868,Ajay Mitra,7/1/2008,2/6/1955,Female,Pune,19,617,25k to 40k,Private Sector Employee,Personal Loan,6/5/2013,30,28," 640,905.00 ", 12.50 ," (24,985.30)", 25.00 , 16.00 , 9.00 , 3.00 ," 64,090.50 "," (139,046.41)",0,N/A, -   , -   ," (74,955.91)", -   , -   ,,,,,,,,
99002883,Darshan Dass,7/13/2013,2/3/1977,Male,Pune,8,664,15k to 25k,Small Bussiness Owner,Auto Loan,4/16/2015,30,6," 386,956.00 ", 10.50 ," (14,721.47)", 6.00 , -   , 6.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002883,Darshan Dass,7/13/2013,2/3/1977,Male,Pune,17,824,15k to 25k,Small Bussiness Owner,Personal Loan,8/31/2013,30,26," 560,502.00 ", 12.50 ," (21,850.84)", 23.00 , 23.00 , -   , 3.00 ," 56,050.20 "," (121,602.72)",0,N/A, -   , -   ," (65,552.52)", -   , -   ,,,,,,,,
99002898,Deven Kalla,12/23/2005,4/9/1993,Male,Pune,19,687,60k to 100k,Private Sector Employee,Home Loan,8/28/2014,24,14," 536,197.00 ", 11.50 ," (25,115.64)", 12.00 , 6.00 , 6.00 , 2.00 ," 44,683.08 "," (94,914.36)",0,N/A, -   ," (50,231.27)", -   , -   , -   ,,,,,,,,
99002898,Deven Kalla,12/23/2005,4/9/1993,Male,Pune,0,900,60k to 100k,Private Sector Employee,Personal Loan,6/21/2015,30,4," 560,836.00 ", 12.50 ," (21,863.86)", 1.00 , -   , 1.00 , 3.00 ," 56,083.60 "," (121,675.18)",0,N/A, -   , -   ," (65,591.58)", -   , -   ,,,,,,,,
99002913,Abhimanyu Dewan,12/23/2002,10/21/1981,Male,Pune,10,870,upto 15000,Private Sector Employee,Home Loan,2/13/2014,24,20," 643,292.00 ", 11.50 ," (30,132.00)", 17.00 , 10.00 , 7.00 , 3.00 ," 80,411.50 "," (170,807.50)",0,N/A, -   , -   ," (90,396.00)", -   , -   ,,,,,,,,
99002913,Abhimanyu Dewan,12/23/2002,10/21/1981,Male,Pune,1,561,upto 15000,Private Sector Employee,Personal Loan,4/7/2013,18,30," 665,173.00 ", 12.50 ," (40,718.28)", 28.00 , 3.00 , 25.00 , 2.00 ," 73,908.11 "," (155,344.66)",0,N/A, -   ," (81,436.55)", -   , -   , -   ,,,,,,,,
99002928,Shaktar Dhonsi,1/15/2005,5/9/1970,Female,Pune,3,568,60k to 100k,Private Sector Employee,Auto Loan,4/8/2013,36,30," 374,328.00 ", 10.50 ," (12,166.57)", 30.00 , -   , 30.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002928,Shaktar Dhonsi,1/15/2005,5/9/1970,Female,Pune,4,764,60k to 100k,Private Sector Employee,Personal Loan,7/18/2014,18,15," 528,047.00 ", 12.50 ," (32,324.17)", 13.00 , 8.00 , 5.00 , 2.00 ," 58,671.89 "," (123,320.22)",0,N/A, -   ," (64,648.34)", -   , -   , -   ,,,,,,,,
99002943,Lakshmana Mudaliyar,10/18/2008,2/5/1989,Male,Pune,17,722,60k to 100k,Private Sector Employee,Auto Loan,3/9/2014,36,19," 314,132.00 ", 10.50 ," (10,210.06)", 17.00 , -   , 17.00 , 2.00 ," 17,451.78 "," (37,871.89)",0,N/A, -   ," (20,420.12)", -   , -   , -   ,,,,,,,,
99002943,Lakshmana Mudaliyar,10/18/2008,2/5/1989,Male,Pune,6,605,60k to 100k,Private Sector Employee,Personal Loan,9/13/2014,36,13," 521,694.00 ", 12.50 ," (17,452.56)", 11.00 , 8.00 , 3.00 , 2.00 ," 28,983.00 "," (63,888.11)",0,N/A, -   ," (34,905.11)", -   , -   , -   ,,,,,,,,
99002958,Manjit Tailor,5/26/2014,3/12/1973,Male,Pune,5,557,100k to 200k,Bussiness Owner,Home Loan,3/2/2013,30,31," 591,239.00 ", 11.50 ," (22,770.19)", 31.00 , 21.00 , 10.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002958,Manjit Tailor,5/26/2014,3/12/1973,Male,Pune,20,859,100k to 200k,Bussiness Owner,Personal Loan,5/1/2013,18,29," 528,239.00 ", 12.50 ," (32,335.92)", 28.00 , -   , 28.00 , 1.00 ," 29,346.61 "," (61,682.53)",0,N/A," (32,335.92)", -   , -   , -   , -   ,,,,,,,,
99002973,Azhar Gounder,2/8/2012,3/7/1994,Male,Pune,15,709,100k to 200k,Bussiness Owner,Home Loan,10/17/2013,18,24," 556,614.00 ", 11.50 ," (33,814.32)", 23.00 , 8.00 , 15.00 , 1.00 ," 30,923.00 "," (64,737.32)",0,N/A," (33,814.32)", -   , -   , -   , -   ,,,,,,,,
99002973,Azhar Gounder,2/8/2012,3/7/1994,Male,Pune,9,719,100k to 200k,Bussiness Owner,Personal Loan,1/22/2015,18,9," 506,159.00 ", 12.50 ," (30,984.30)", 7.00 , 6.00 , 1.00 , 2.00 ," 56,239.89 "," (118,208.50)",0,N/A, -   ," (61,968.61)", -   , -   , -   ,,,,,,,,
99002988,Gagan Mogul,2/7/2001,11/15/1970,Female,Pune,10,710,25k to 40k,Private Sector Employee,Auto Loan,2/27/2015,30,8," 322,228.00 ", 10.50 ," (12,258.94)", 8.00 , 4.00 , 4.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99002988,Gagan Mogul,2/7/2001,11/15/1970,Female,Pune,4,853,25k to 40k,Private Sector Employee,Personal Loan,11/17/2013,18,23," 632,511.00 ", 12.50 ," (38,718.89)", 22.00 , 14.00 , 8.00 , 1.00 ," 35,139.50 "," (73,858.39)",0,N/A," (38,718.89)", -   , -   , -   , -   ,,,,,,,,
99003003,Girisha Morar,11/18/2010,12/20/1991,Male,Pune,3,542,40k to 60k,Public Sector Employee,Auto Loan,9/8/2014,36,13," 299,761.00 ", 10.50 ," (9,742.96)", 13.00 , 11.00 , 2.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003018,Vyasa Dutta,4/6/2003,11/13/1973,Male,Pune,9,814,upto 15000,Private Sector Employee,Auto Loan,1/23/2015,18,9," 430,948.00 ", 10.50 ," (25,980.80)", 9.00 , -   , 9.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003033,Takshaka Borah,10/25/2003,11/19/1970,Male,Pune,8,713,100k to 200k,Bussiness Owner,Home Loan,11/22/2013,18,23," 588,644.00 ", 11.50 ," (35,760.15)", 23.00 , 19.00 , 4.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003048,Vyasa Sarin,3/15/2015,12/15/1957,Female,Pune,3,837,40k to 60k,Public Sector Employee,Home Loan,12/22/2013,36,22," 582,373.00 ", 11.50 ," (19,204.34)", 21.00 , -   , 21.00 , 1.00 ," 16,177.03 "," (35,381.36)",0,N/A," (19,204.34)", -   , -   , -   , -   ,,,,,,,,
99003063,Vishal Mammen,2/11/2003,6/19/1961,Male,Pune,14,531,upto 15000,Private Sector Employee,Home Loan,11/15/2014,18,11," 569,345.00 ", 11.50 ," (34,587.73)", 8.00 , 4.00 , 4.00 , 3.00 ," 94,890.83 "," (198,654.03)",0,N/A, -   , -   ," (103,763.19)", -   , -   ,,,,,,,,
99003078,Saubhari Bhargava,3/25/2005,3/30/1956,Male,Pune,7,827,40k to 60k,Public Sector Employee,Auto Loan,10/19/2013,30,24," 499,421.00 ", 10.50 ," (19,000.13)", 23.00 , 1.00 , 22.00 , 1.00 ," 16,647.37 "," (35,647.50)",0,N/A," (19,000.13)", -   , -   , -   , -   ,,,,,,,,
99003093,Shaka Tailor,9/3/2008,2/1/1973,Male,Pune,19,761,15k to 25k,Small Bussiness Owner,Home Loan,11/4/2013,36,23," 570,779.00 ", 11.50 ," (18,822.01)", 21.00 , 20.00 , 1.00 , 2.00 ," 31,709.94 "," (69,353.97)",0,N/A, -   ," (37,644.02)", -   , -   , -   ,,,,,,,,
99003108,Akash Nair,1/27/2004,7/6/1972,Female,Pune,2,611,25k to 40k,Private Sector Employee,Auto Loan,3/17/2015,30,7," 309,009.00 ", 10.50 ," (11,756.03)", 6.00 , 5.00 , 1.00 , 1.00 ," 10,300.30 "," (22,056.33)",0,N/A," (11,756.03)", -   , -   , -   , -   ,,,,,,,,
99003123,Harischandra Thaker,1/23/2006,1/11/1986,Male,Pune,11,530,25k to 40k,Private Sector Employee,Auto Loan,4/16/2014,18,18," 321,512.00 ", 10.50 ," (19,383.17)", 15.00 , 8.00 , 7.00 , 3.00 ," 53,585.33 "," (111,734.85)",0,N/A, -   , -   ," (58,149.52)", -   , -   ,,,,,,,,
99003138,Mukul Bhavsar,12/4/2009,10/30/1972,Male,Pune,5,608,100k to 200k,Bussiness Owner,Auto Loan,3/8/2015,30,7," 387,518.00 ", 10.50 ," (14,742.86)", 7.00 , 1.00 , 6.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003153,Agneya Peri,1/13/2004,2/19/1969,Male,Pune,11,825,40k to 60k,Public Sector Employee,Auto Loan,8/5/2013,24,26," 388,788.00 ", 10.50 ," (18,030.45)", 26.00 , 14.00 , 12.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003168,Gada Naidu,3/2/2005,10/22/1971,Female,Pune,20,755,60k to 100k,Private Sector Employee,Auto Loan,9/25/2014,24,13," 279,164.00 ", 10.50 ," (12,946.52)", 13.00 , 2.00 , 11.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003183,Vasuki Kapoor,10/26/2003,2/14/1958,Male,Pune,14,516,15k to 25k,Small Bussiness Owner,Home Loan,6/15/2014,30,16," 623,996.00 ", 11.50 ," (24,031.75)", 16.00 , 9.00 , 7.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003198,Vyasa Devar,11/26/2006,7/21/1977,Male,Pune,10,868,60k to 100k,Private Sector Employee,Auto Loan,1/8/2015,18,9," 370,332.00 ", 10.50 ," (22,326.41)", 7.00 , -   , 7.00 , 2.00 ," 41,148.00 "," (85,800.82)",0,N/A, -   ," (44,652.82)", -   , -   , -   ,,,,,,,,
99003213,Agni Shenoy,4/18/2010,4/28/1985,Male,Pune,19,815,100k to 200k,Bussiness Owner,Auto Loan,6/21/2015,36,4," 448,119.00 ", 10.50 ," (14,564.96)", 1.00 , 1.00 , -   , 3.00 ," 37,343.25 "," (81,038.14)",0,N/A, -   , -   ," (43,694.89)", -   , -   ,,,,,,,,
99003228,Kalki Raju,1/12/2001,1/6/1958,Female,Pune,2,829,upto 15000,Private Sector Employee,Home Loan,6/20/2013,30,28," 576,556.00 ", 11.50 ," (22,204.71)", 27.00 , 23.00 , 4.00 , 1.00 ," 19,218.53 "," (41,423.24)",0,N/A," (22,204.71)", -   , -   , -   , -   ,,,,,,,,
99003243,Josha Khandke,2/5/2002,10/21/1964,Male,Pune,6,674,25k to 40k,Private Sector Employee,Auto Loan,8/11/2013,30,26," 451,679.00 ", 10.50 ," (17,183.82)", 25.00 , 19.00 , 6.00 , 1.00 ," 15,055.97 "," (32,239.78)",0,N/A," (17,183.82)", -   , -   , -   , -   ,,,,,,,,
99003258,Gagan Patil,8/6/2005,8/14/1982,Male,Pune,18,560,100k to 200k,Bussiness Owner,Auto Loan,2/18/2013,24,32," 315,271.00 ", 10.50 ," (14,621.02)", 31.00 , 2.00 , 29.00 , 1.00 ," 13,136.29 "," (27,757.31)",0,N/A," (14,621.02)", -   , -   , -   , -   ,,,,,,,,
99003273,Sachi Acharya,2/1/2001,4/13/1996,Male,Pune,9,648,15k to 25k,Small Bussiness Owner,Home Loan,12/27/2012,36,34," 510,264.00 ", 11.50 ," (16,826.47)", 34.00 , 7.00 , 27.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003288,Muni Mohanty,1/4/2006,12/14/1965,Female,Pune,3,537,25k to 40k,Private Sector Employee,Home Loan,6/30/2014,24,16," 503,040.00 ", 11.50 ," (23,562.55)", 13.00 , 7.00 , 6.00 , 3.00 ," 62,880.00 "," (133,567.66)",0,N/A, -   , -   ," (70,687.66)", -   , -   ,,,,,,,,
99003303,Haripriya Kalla,5/17/2006,9/19/1988,Male,Pune,16,695,upto 15000,Private Sector Employee,Auto Loan,4/3/2014,24,18," 372,253.00 ", 10.50 ," (17,263.62)", 15.00 , 11.00 , 4.00 , 3.00 ," 46,531.63 "," (98,322.49)",0,N/A, -   , -   ," (51,790.86)", -   , -   ,,,,,,,,
99003318,Shudra Handa,10/8/2009,11/29/1982,Male,Pune,20,637,15k to 25k,Small Bussiness Owner,Home Loan,4/24/2014,36,18," 587,709.00 ", 11.50 ," (19,380.30)", 18.00 , 16.00 , 2.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003333,Gagan Bhosale,11/22/2003,10/1/1985,Male,Pune,10,778,100k to 200k,Bussiness Owner,Home Loan,2/17/2015,24,8," 584,515.00 ", 11.50 ," (27,378.87)", 7.00 , 6.00 , 1.00 , 1.00 ," 24,354.79 "," (51,733.66)",0,N/A," (27,378.87)", -   , -   , -   , -   ,,,,,,,,
99003348,Matsya Choudhry,7/24/2015,4/27/1990,Female,Pune,0,900,100k to 200k,Bussiness Owner,Auto Loan,11/17/2013,18,23," 270,516.00 ", 10.50 ," (16,308.75)", 23.00 , 20.00 , 3.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003363,Samantaka Ratti,6/16/2012,3/29/1957,Male,Pune,6,639,100k to 200k,Bussiness Owner,Home Loan,2/1/2015,36,8," 524,922.00 ", 11.50 ," (17,309.83)", 8.00 , 6.00 , 2.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003378,Shashida Kanda,1/8/2011,7/10/1975,Male,Pune,17,517,upto 15000,Private Sector Employee,Home Loan,4/1/2014,30,18," 502,175.00 ", 11.50 ," (19,340.10)", 15.00 , 3.00 , 12.00 , 3.00 ," 50,217.50 "," (108,237.79)",0,N/A, -   , -   ," (58,020.29)", -   , -   ,,,,,,,,
99003393,Skanda Dwivedi,10/23/2012,5/16/1991,Male,Pune,1,822,100k to 200k,Bussiness Owner,Home Loan,6/5/2014,30,16," 693,167.00 ", 11.50 ," (26,695.71)", 13.00 , 2.00 , 11.00 , 3.00 ," 69,316.70 "," (149,403.82)",0,N/A, -   , -   ," (80,087.12)", -   , -   ,,,,,,,,
99003408,Balarama Gill,2/27/2002,5/1/1981,Female,Pune,7,691,15k to 25k,Small Bussiness Owner,Auto Loan,3/21/2014,30,19," 273,142.00 ", 10.50 ," (10,391.50)", 19.00 , 3.00 , 16.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003423,Kalki Raval,1/2/2014,11/17/1981,Male,Pune,19,835,40k to 60k,Public Sector Employee,Home Loan,4/30/2013,24,30," 693,995.00 ", 11.50 ," (32,506.94)", 28.00 , 12.00 , 16.00 , 2.00 ," 57,832.92 "," (122,846.81)",0,N/A, -   ," (65,013.89)", -   , -   , -   ,,,,,,,,
99003438,Guffud Issac,10/6/2013,9/27/1955,Male,Pune,6,596,100k to 200k,Bussiness Owner,Auto Loan,12/12/2013,24,22," 449,601.00 ", 10.50 ," (20,850.71)", 22.00 , 22.00 , -   , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003453,Indra Mital,11/29/2011,2/9/1972,Male,Pune,6,869,60k to 100k,Private Sector Employee,Auto Loan,3/26/2013,18,31," 429,163.00 ", 10.50 ," (25,873.19)", 30.00 , 4.00 , 26.00 , 1.00 ," 23,842.39 "," (49,715.58)",0,N/A," (25,873.19)", -   , -   , -   , -   ,,,,,,,,
99003468,Sulya Shergill,2/9/2001,9/18/1993,Female,Pune,10,804,upto 15000,Private Sector Employee,Auto Loan,3/1/2013,18,31," 486,052.00 ", 10.50 ," (29,302.89)", 31.00 , 16.00 , 15.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
99003483,Sahan Pradhan,11/26/2007,8/1/1976,Male,Pune,9,648,upto 15000,Private Sector Employee,Home Loan,10/11/2013,24,24," 592,581.00 ", 11.50 ," (27,756.68)", 23.00 , 5.00 , 18.00 , 1.00 ," 24,690.88 "," (52,447.56)",0,N/A," (27,756.68)", -   , -   , -   , -   ,,,,,,,,
99003498,Omparkash Bahl,4/23/2005,7/5/1988,Male,Pune,16,705,60k to 100k,Private Sector Employee,Auto Loan,10/2/2013,30,24," 438,858.00 ", 10.50 ," (16,696.05)", 23.00 , 3.00 , 20.00 , 1.00 ," 14,628.60 "," (31,324.65)",0,N/A," (16,696.05)", -   , -   , -   , -   ,,,,,,,,
99003513,Kritanta Bajaj,1/3/2015,9/17/1958,Male,Pune,20,425,100k to 200k,Bussiness Owner,Auto Loan,12/21/2012,18,34," 446,791.00 ", 9.00 ," (26,627.70)", 20.00 , 16.00 , 4.00 , 14.00 ," 347,504.11 "," (720,291.91)",7, promised to pay shortly, -   , -   , -   , -   ," (372,787.80)",,,,,,,,
99003528,Chander Ghate,7/3/2001,4/23/1968,Female,Pune,16,437,25k to 40k,Private Sector Employee,Personal Loan,10/28/2014,24,12," 186,388.00 ", 9.00 ," (8,515.09)", 4.00 , 3.00 , 1.00 , 8.00 ," 62,129.33 "," (130,250.04)",7, Did not pickup phone, -   , -   , -   , -   ," (68,120.70)",,,,,,,,
99003543,Haripriya Cherian,4/7/2001,10/28/1987,Male,Pune,15,311,40k to 60k,Public Sector Employee,Auto Loan,4/26/2013,30,30," 425,969.00 ", 11.00 ," (16,305.27)", 26.00 , 17.00 , 9.00 , 4.00 ," 56,795.87 "," (122,016.94)",8,Do whatever you like, -   , -   , -   ," (65,221.07)", -   ,,,,,,,,
99003558,Yamal Anthony,5/20/2005,10/16/1960,Male,Pune,1,151,15k to 25k,Small Bussiness Owner,Auto Loan,11/13/2013,24,23," 442,519.00 ", 9.00 ," (20,216.37)", 12.00 , 7.00 , 5.00 , 11.00 ," 202,821.21 "," (425,201.24)",8, promised to pay shortly, -   , -   , -   , -   ," (222,380.03)",,,,,,,,
99003573,Shalya Ramkissoon,5/15/2001,7/9/1964,Male,Pune,20,276,60k to 100k,Private Sector Employee,Personal Loan,6/15/2014,18,16," 109,221.00 ", 9.00 ," (6,509.32)", 7.00 , 2.00 , 5.00 , 9.00 ," 54,610.50 "," (113,194.35)",10,Do whatever you like, -   , -   , -   , -   ," (58,583.85)",,,,,,,,
99003588,Agneya Ray,2/14/2010,9/4/1995,Female,Pune,12,157,25k to 40k,Private Sector Employee,Personal Loan,2/1/2013,18,32," 79,410.00 ", 9.00 ," (4,732.65)", 3.00 , 2.00 , 1.00 , 29.00 ," 127,938.33 "," (265,185.20)",10, promised to pay shortly, -   , -   , -   , -   ," (137,246.87)",,,,,,,,
99003603,Priyamkara Sura,4/3/2012,1/4/1979,Male,Pune,10,317,40k to 60k,Public Sector Employee,Home Loan,9/3/2014,18,13," 543,623.00 ", 9.00 ," (32,398.66)", 4.00 , -   , 4.00 , 9.00 ," 271,811.50 "," (563,399.45)",9,Do whatever you like, -   , -   , -   , -   ," (291,587.95)",,,,,,,,
99003618,Agnimukha Chhabra,12/25/2013,5/20/1959,Male,Pune,16,235,25k to 40k,Private Sector Employee,Personal Loan,5/12/2013,24,29," 178,234.00 ", 9.00 ," (8,142.57)", 23.00 , 21.00 , 2.00 , 6.00 ," 44,558.50 "," (93,413.95)",6,requested rescheduling, -   , -   , -   , -   ," (48,855.45)",,,,,,,,
